product,url product lookup
Turbomachinery,http://dbpedia.org/resource/Turbomachinery
Turbomachinery,http://dbpedia.org/resource/Three-dimensional_losses_and_correlation_in_turbomachinery
Unilever,http://dbpedia.org/resource/Unilever
Unilever,http://dbpedia.org/resource/Unilever_Philippines
Unilever,http://dbpedia.org/resource/Unilever_Indonesia
Unilever,http://dbpedia.org/resource/Unilever_Nepal
Unilever,http://dbpedia.org/resource/Unilever_Australasia
Unilever,http://dbpedia.org/resource/Hindustan_Unilever
Unilever,http://dbpedia.org/resource/Unilever_House
Unilever,http://dbpedia.org/resource/Unilever_Ghana
Unilever,http://dbpedia.org/resource/Unilever_Bangladesh_Limited
Unilever,http://dbpedia.org/resource/Unilever_Pakistan_Limited
Rice,"http://dbpedia.org/resource/Rice,_Rice,_Hillman_&_Pedersen"
Rice,http://dbpedia.org/resource/Rice
Rice,"http://dbpedia.org/resource/Rice,_Washington"
Rice,"http://dbpedia.org/resource/Rice,_California"
Rice,http://dbpedia.org/resource/Samba_(rice)
Rice,"http://dbpedia.org/resource/Rice,_Minnesota"
Rice,"http://dbpedia.org/resource/Rice_High_School_(Rice,_Texas)"
Rice,"http://dbpedia.org/resource/Rice,_Virginia"
Rice,"http://dbpedia.org/resource/Rice,_Kansas"
Rice,"http://dbpedia.org/resource/Rice,_Oregon"
Pasta,http://dbpedia.org/resource/Pasta
Pasta,http://dbpedia.org/resource/Fiori_(pasta)
Pasta,http://dbpedia.org/resource/Bavette_(pasta)
Pasta,http://dbpedia.org/resource/Lanterne_(pasta)
Pasta,http://dbpedia.org/resource/Fusi_(pasta)
Pasta,http://dbpedia.org/resource/Gemelli_(pasta)
Pasta,http://dbpedia.org/resource/Orzo_(pasta)
Pasta,http://dbpedia.org/resource/Pasta_primavera
Pasta,http://dbpedia.org/resource/Pasta_(TV_series)
Pasta,http://dbpedia.org/resource/Pasta_salad
Food technology,http://dbpedia.org/resource/Food_technology
Food technology,http://dbpedia.org/resource/Food_Technology_(magazine)
Food technology,http://dbpedia.org/resource/Good_Technology
Food technology,"http://dbpedia.org/resource/Food,_Glorious_Food"
Food technology,http://dbpedia.org/resource/ATN_Food_Food
Food technology,http://dbpedia.org/resource/Spread_(food)
Food technology,http://dbpedia.org/resource/Food
Food technology,http://dbpedia.org/resource/Food_Food_(TV_channel)
Food technology,http://dbpedia.org/resource/Maceration_(food)
Food technology,http://dbpedia.org/resource/Paste_(food)
Food technology,http://dbpedia.org/resource/Denaturation_(food)
Food technology,http://dbpedia.org/resource/Salting_(food)
Food technology,http://dbpedia.org/resource/Satti_(food)
Sauce,http://dbpedia.org/resource/Chasseur_(sauce)
Sauce,http://dbpedia.org/resource/Sauce
Sauce,"http://dbpedia.org/resource/Sauce,_Uruguay"
Sauce,"http://dbpedia.org/resource/Sauce,_Corrientes"
Sauce,http://dbpedia.org/resource/Ají_(sauce)
Sauce,http://dbpedia.org/resource/Salsa_(sauce)
Sauce,http://dbpedia.org/resource/Budu_(sauce)
Sauce,http://dbpedia.org/resource/Sepen_(sauce)
Sauce,http://dbpedia.org/resource/Mojo_(sauce)
Sauce,http://dbpedia.org/resource/Steak_sauce
Production line,http://dbpedia.org/resource/Production_line
Production line,http://dbpedia.org/resource/Production_Line_(ice_hockey)
Production line,http://dbpedia.org/resource/UMTV_(production)
Production line,http://dbpedia.org/resource/(re)Production
Production line,http://dbpedia.org/resource/International_co-production
Production line,http://dbpedia.org/resource/Production–possibility_frontier
Production line,http://dbpedia.org/resource/Pre-production
Production line,http://dbpedia.org/resource/Production_(economics)
Production line,http://dbpedia.org/resource/Oh!_Production
Production line,http://dbpedia.org/resource/Post-production
Production line,http://dbpedia.org/resource/Platform_Post-production
Production line,http://dbpedia.org/resource/Production
Industrial robot,http://dbpedia.org/resource/Industrial_robot
Industrial robot,http://dbpedia.org/resource/Industrial_(First)
Industrial robot,http://dbpedia.org/resource/Industrial_(Second)
Industrial robot,http://dbpedia.org/resource/Autoclave_(industrial)
Industrial robot,"http://dbpedia.org/resource/Industrial,_West_Virginia"
Industrial robot,http://dbpedia.org/resource/Cutaway_(industrial)
Industrial robot,http://dbpedia.org/resource/Industrial_(album)
Industrial robot,http://dbpedia.org/resource/Electro-industrial
Industrial robot,http://dbpedia.org/resource/Industrial-grade_prime
Industrial robot,http://dbpedia.org/resource/Industrial
Industrial robot,"http://dbpedia.org/resource/C.N._Industrial,_Saskatoon"
Machine tool,http://dbpedia.org/resource/Machine_tool
Machine tool,http://dbpedia.org/resource/Drawbar_(machine_tool)
Machine tool,http://dbpedia.org/resource/Machine_(EP)
Machine tool,http://dbpedia.org/resource/NEMA_(machine)
